,A1644,A1795,A2029,A2142,A2255,A2319,A3158,A3266,A644,A85,RXC1825,ZW1215
log_10_n_e2,-4.142247872465492,-3.5792818097637467,-3.254016261340796,-4.27252294553208,-6.122366295554854,-4.985042646808807,-5.1720610417909905,-5.613666476058706,-4.687008265244187,-3.231506008033183,-5.592529826945052,-5.465665831207888
log_10_r_c,-1.9840553641843244,-1.4786751122059294,-1.927675493057805,-1.2779564559523715,-0.6989043335321304,-1.0399471668869165,-1.2849035351671998,-1.0038085673561965,-1.0590579401327014,-1.9928491910670636,-1.6637253236794862,-1.0327554983497373
log_10_r_s$,-0.1820986783455107,-0.2870112932212286,-0.9960019961097519,-0.08592249098802371,-0.2894618415893067,-0.01792254720644177,-0.5514185132244457,-0.20801182757990375,-0.15952512530394253,-0.6461431960285998,-0.5815281653210951,-0.3576230835387481
beta,0.3373718150334932,0.4998058637925604,0.30546067173271835,0.47362875033946383,0.39407189773012136,0.4543958894399957,0.24864855564849717,0.3207242057960741,0.5568657668007402,0.35566172771407034,0.13398975039759656,0.38185179340038045
epsilon,1.822404564720207,1.7677503469416542,1.6258203988906157,4.794936821134476,0.7818302561976728,4.205703357320533,2.4093040347274455,4.955518490267268,3.0490786124746236,1.3628826199110509,2.900755260436387,3.0285760155527854
log_10_bkg,-7.192580278955778,-7.381071404202258,-7.3453006752107965,-7.449763145318244,-8.573847176553997,-6.9258132374290335,-7.5146021545128185,-7.239510084077819,-7.515687129583938,-9.470543456322774,-7.200993022363331,-7.579863889324671
theta,1.1006167115168937,-0.2023834527269971,-0.3509326533762287,0.8510769270286915,1.4463023502676127,0.4395259680367022,1.4076060856841095,-1.1420604228716993,-0.21495523849978337,0.34948563501802693,1.5701111901924487,-1.1046179183107705
e,0.3901339441057544,0.5759665664143595,0.6102272751645387,0.7517654470215975,0.5372567028098364,0.6482089982399171,0.6344596357820406,0.576785017871671,0.6166587364695064,0.5061617449847223,0.6182410059910958,0.6318199531428351
x_c,0.007844324429576638,-0.00044364673838713075,-0.0002273964118945917,0.003388130344659221,-0.0011833369641090483,0.009370419892838808,-0.0020161604242507226,-0.01232213161694212,0.0018368279914027506,-0.0009434182110378956,-0.006846233151774305,-0.0006540886085575282
y_c,-0.0029761438536523347,0.005893226260269978,0.000855151669573334,0.0048576754353766155,-0.00042810928979280296,0.017668302597280573,-0.0023044499285545233,0.007682871570886965,-0.014149363807767313,-0.0004944435471420359,0.004017090037157752,0.003862775293655985
